oms_score,sex,race,pb,p1,p2,p3,p4,p5,ac,id
84.347466,M,4,MI,MI,IN,AR,SC,EN,1,631
84.33876,M,1,IN,IN,AR,FA,EN,MP,1,632
84.319885,M,1,IN,IN,MI,EN,MP,FA,2,633
84.317223,M,1,MS,AV,MS,FA,CM,MP,1,634
84.3116,M,1,MP,MP,MI,AR,IN,MS,1,635
84.306046,M,1,IN,IN,FA,AR,AD,EN,3,636
84.290764,M,1,EN,EN,AR,SC,IN,FA,1,637
84.289452,M,1,MI,AV,MI,AR,MP,OD,1,638
84.288666,M,2,MI,IN,MI,AR,FA,EN,1,639
84.277756,M,1,SC,SC,AD,MI,OD,AG,2,640
84.273987,F,2,AG,AG,MS,SC,EN,TC,1,641
84.255821,M,1,TC,TC,IN,MS,QM,MI,2,642
84.253433,M,1,QM,QM,MS,TC,AR,FI,2,643
84.237747,M,1,MI,MI,SC,EN,MS,MP,2,644
84.227814,M,5,MP,MP,MS,AR,EN,CM,1,645
84.22477,M,1,AR,AV,AR,EN,SC,MP,1,646
84.220581,M,1,AR,AR,EN,MI,MP,IN,1,647
84.21859,M,1,EN,EN,IN,AR,MP,TC,4,648
84.207802,M,4,IN,IN,EN,FA,AR,SC,1,649
84.198486,M,1,EN,IN,EN,AR,MI,FA,4,650
84.191826,F,1,MI,MI,AG,SC,FI,QM,1,651
84.189644,M,1,MS,MS,MI,EN,MP,SC,3,652
84.180702,M,1,AR,AR,MI,EN,IN,SC,1,653
84.174393,M,1,AR,AR,MP,IN,FA,EN,1,654
84.168709,M,1,SC,IN,SC,EN,MS,AR,3,655
84.165947,M,4,SC,SC,IN,EN,MP,MI,1,656
84.163338,M,1,MI,MI,MS,SC,AD,MP,1,657
84.148849,F,1,MP,MP,MI,QM,AG,MS,1,658
84.142067,M,1,MI,MI,MP,AR,IN,FA,3,659
84.127998,M,1,IN,IN,MI,MP,AR,FA,1,660
84.115326,F,1,MP,MP,MI,EN,FA,MS,1,661
84.105736,M,1,MP,MP,AR,MI,AD,FA,2,662
84.105553,M,1,MI,IN,MI,SC,EN,AR,2,663
84.100807,F,1,MS,MS,EN,MP,MI,AD,1,664
84.095329,M,1,IN,IN,AR,FA,MI,MP,1,665
84.092041,M,1,AR,AR,IN,EN,MP,MS,1,666
84.088219,M,1,MS,AV,MS,MP,MI,EN,1,667
84.086861,M,1,EN,EN,FA,MP,AR,OD,4,668
84.086555,M,1,EN,EN,FA,MI,IN,AD,4,669
84.079758,M,1,IN,IN,EN,FA,MI,AR,4,670
84.071854,M,1,IN,IN,EN,AR,MP,FA,4,671
84.030655,M,1,MS,MS,MI,QM,AD,IN,2,672
84.016632,M,1,AR,AV,AR,EN,FA,MI,1,673
84.010704,M,1,EN,IN,AR,EN,FA,AD,1,674
84.00946,M,4,AD,AD,TC,QM,EN,AR,1,675
83.999809,M,1,AR,IN,AR,FA,MI,AD,1,676
83.984695,M,1,EN,EN,MP,FA,IN,AR,1,677
83.968109,M,1,MI,MI,SC,MP,IN,EN,1,678
83.96788,F,1,MP,AV,MP,EN,MI,MS,1,679
83.93531,F,1,MP,MP,MI,SC,EN,MS,1,680
83.934998,M,1,MI,MI,EN,AD,FA,OD,1,681
83.930527,M,1,MS,MS,MI,EN,SC,CM,3,682
83.919693,F,1,MI,MI,MS,SC,AG,EN,2,683
83.916145,M,1,SC,AR,SC,FA,MP,MS,1,684
83.914238,F,1,MI,MI,AG,QM,OD,MP,1,685
83.912582,M,1,FA,AR,FA,SC,IN,MI,1,686
83.907104,M,4,CM,CM,AR,EN,IN,QM,3,687
83.884789,M,1,SC,SC,EN,AD,MI,OD,3,688
83.878044,F,1,MI,MI,EN,SC,FA,MP,1,689
83.87793,M,1,FI,FI,MI,AR,MS,SC,2,690
83.872421,M,2,SC,SC,FI,AG,EN,MI,3,691
83.86731,M,1,MI,MI,IN,EN,AR,FI,2,692
83.803497,M,2,EN,EN,MP,IN,MI,AR,1,693
83.800652,M,1,FA,FA,AD,EN,MI,AR,4,694
83.790588,F,1,EN,EN,MI,AG,MS,OD,1,695
83.78949,M,1,AR,AV,AR,EN,MS,IN,1,696
83.785889,M,1,MI,MI,EN,MP,AR,TC,1,697
83.759598,M,1,MI,MI,IN,EN,SC,QM,1,698
83.756905,M,1,EN,EN,SC,OD,FA,TC,4,699
83.755508,M,1,QM,QM,AG,MS,FA,FI,2,700
83.751953,M,1,MI,MI,FA,AD,IN,AR,1,701
83.747566,M,1,MP,AR,IN,MP,FA,EN,2,702
83.741013,M,1,MI,MI,MP,IN,SC,EN,1,703
83.739632,M,1,MI,MI,EN,FA,AR,MP,1,704
83.69606,M,1,AR,AV,AR,SC,MS,IN,3,705
83.693481,M,1,AR,AR,MI,MP,TC,QM,1,706
83.68589,M,1,MS,AV,MS,QM,AG,SC,1,707
83.674103,F,1,MI,MI,FI,MS,MP,QM,2,708
83.656219,M,1,EN,IN,EN,AR,FA,MP,1,709
83.655579,M,1,MS,AV,MS,MP,AR,IN,1,710
83.636635,F,1,MI,MI,QM,EN,MP,AG,1,711
83.630684,F,1,MP,MP,MI,EN,QM,OD,1,712
83.630074,M,1,AR,IN,AR,SC,MP,FA,1,713
83.617477,M,1,MP,MP,MI,AR,TC,EN,1,714
83.610962,M,1,MI,MI,AR,MP,FA,EN,1,715
83.597794,M,1,MI,AR,MI,IN,TC,SC,1,716
83.596146,M,1,AG,AG,FI,QM,AD,TC,1,717
83.588882,M,1,FA,FA,AR,MP,EN,FI,1,718
83.568657,M,3,MS,MS,AG,QM,AD,OD,1,719
83.566734,M,1,MI,MI,FA,SC,EN,AR,1,720
83.563507,F,4,MS,MS,AG,FI,QM,EN,1,721
83.562019,M,1,MI,MI,AR,MP,EN,IN,1,722
83.561684,M,2,MS,AV,MS,MP,FA,EN,1,723
83.560066,M,1,QM,QM,FA,MI,AD,TC,1,724
83.557373,M,1,EN,EN,IN,QM,CM,MI,3,725
83.554901,M,1,AR,AR,MP,MS,IN,FA,1,726
83.547981,M,1,MI,MI,AR,SC,AG,AD,1,727
83.544174,M,1,EN,EN,IN,AR,MP,TC,4,728
83.528305,F,2,MP,MP,SC,MI,TC,QM,1,729
83.49971,M,2,FA,IN,FA,OD,EN,MP,1,730
83.493011,M,1,MS,MS,AG,CM,AD,SC,1,731
83.489876,M,1,EN,IN,EN,AR,FA,MI,3,732
83.467735,M,1,AR,IN,AR,FA,EN,AV,1,733
83.462242,M,1,EN,EN,IN,AR,MP,AD,4,734
